IdOffWeb;IdArtico;CodiceArticolo;CodArtForn;CodArtPiatt;DescrB2b;IdFornitore;Qta;Prezzo;PrezzoMan;PrezzoManT24;PrezzoMan07ZR;PrezzoManEstero;Posizione;PosGlobale;Settore;SettList;SettoreId;Diametro;P_Std;P_StdBo;P_Base;P_BaseBo;P_Top;P_TopBo;P_Marca1;P_Marca1Bo;P_Marca2;P_Marca2Bo;P_Marca3;P_Marca3Bo;P_Marca4;P_Marca4Bo;Note_Base;Differenza;Eccezzioni;Produttore;P_GommeAuto;P_Esteri_Ger;P_T24_24H;P_T24_48H;P_T24_72H;P_07ZR_24H;P_07ZR_48H;P_07ZR_72H;Note_07ZR;Note_T24;P_T24_GER;P_T24_SPA;P_T24_AUS;P_07ZR_FRA;Descr_Piatt;Peso;C_TraspBase;C_TraspBaseBo;P_PiattConTrasp;P_PiattSenzaTrasp;C_TraspT24;C_PesoT24;C_Trasp07ZR;C_Peso07ZR;C_PesoGerFra;C_PesoSpa;C_PesoAust;M_Base;M_T24;M_07ZR;M-07ZR;M+07ZR;M-T24;M+T24;P_Prec_T24;P_1Pos_T24;Diff_T24;P_Min_T24;P_Max_T24;P_Ricalc_T24;PosPrec_T24;P_Prec_07ZR;P_1Pos_07ZR;Diff_07ZR;P_Min_07ZR;P_Max_07ZR;P_Ricalc_07ZR;PosPrec_07ZR;Provv_PiattT24;Provv_Piatt07ZR;Note_07ZR_Rank;Note_T24_Rank;DOT_Forn;OrderB2b;MarcaId;TipoPubPiatt;CodMagForn;Note_Std;Note_Top;M_Std;M_Top;M_Esteri;P_Esteri_Spa;P_Esteri_Aus;Stagione;PosEsteri;PosT24;Pos07ZR;Misura;P_T24_BEL;P_T24_LUS;P_T24_FRA;P_T24_OLA;P_T24_POL;P_07ZR_GER;P_07ZR_SPA;P_07ZR_AUS;P_07ZR_POR;P_T24_Uk_Danim;P_07ZR_Uk_Danim
55;506524;1208014-DUN-630039  ;24774                                   ;1208014-DUN-630039;120/80-14 58S DUNLOP SCOOTSMART      ;3;21;48.21;null;null;null;null;4;5;SCOOTER                                           ;MotoScooter                                       ;91;14;53.93;53.93;53.93;53.93;53.93;53.93;null;null;null;null;null;null;null;null;null;5.72;null;DUNLOP                                            ;53.93;62.78;null;61.54;null;null;61.54;null;null;Acqusto(48.21) Margine(8.50) CostoTrasp(7.00) CostoProvv % (1.013);63.41;65.12;63.64;64.75;120/80-14 58S DUNLOP SCOOTSMART;4.10;7.00;3.00;60.93;53.93;7.00;null;7.00;null;5.89;7.57;6.11;null;8.50;null;null;null;3.00;0.00;53.71;41.26;null;61.54;64.54;61.54;16.       ;null;null;null;null;null;null;null;2.50;null;null;AggPrezAuto(61.54) - PosPrec(16.) - PrezPreced.(53.71) - PrezBasePiatt.(64.54) - Prezzo Min/Max(61.54/64.54) - 1°PrezPiatt(41.26);null;32842;6;48H;UNI;null;null;null;null;null;64.48;63.01;ESTIVO;4;5;null;1208014;63.71;63.71;64.75;63.99;67.52;63.41;65.12;63.64;72.93;97.97;97.97
56;547763;45010-VEE-SP138     ;9266                                    ;45010-VEE-SP138;450R10 76J VEE RUBBER VRM138 6 tele      ;3;10;31.70;null;null;null;null;2;2;SCOOTER                                           ;MotoScooter                                       ;91;10;39.84;39.84;39.84;39.84;39.84;39.84;null;null;null;null;null;null;null;null;null;8.14;null;VEE RUBBER                                        ;39.84;45.72;null;45.79;null;null;45.79;null;null;Acqusto(31.70) Margine(8.00) CostoTrasp(5.50) CostoProvv % (1.013);46.18;47.88;46.41;47.52;450R10 76J VEE RUBBER VRM138 6 tele;3.00;5.50;3.00;45.34;39.84;5.50;null;5.50;null;5.89;7.57;6.11;null;8.00;null;null;null;3.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2.50;null;null;null;null;24508;75;48H;UNI;null;null;null;null;null;47.41;45.95;ESTIVO;2;2;null;45010;46.48;46.48;47.52;46.76;50.29;46.18;47.88;46.41;55.75;80.74;80.74
57;547779;12515-VEE-SK215     ;21491                                   ;12515-VEE-SK215;125-15 68S VEE RUBBER VTR329      ;3;13;54.76;null;null;null;null;1;2;SCOOTER                                           ;MotoScooter                                       ;91;15;64.97;64.97;64.97;64.97;64.97;64.97;null;null;null;null;null;null;null;null;null;10.21;null;VEE RUBBER                                        ;64.97;70.86;null;72.69;null;null;72.69;null;null;Acqusto(54.76) Margine(10.00) CostoTrasp(7.00) CostoProvv % (1.013);71.57;73.27;71.79;72.91;125-15 68S VEE RUBBER VTR329;3.00;7.00;3.00;71.97;64.97;7.00;null;7.00;null;5.89;7.57;6.11;null;10.00;null;null;null;3.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2.50;null;null;null;null;47404;75;48H;UNI;null;null;null;null;null;72.54;71.08;ESTIVO;2;2;null;12515;71.86;71.86;72.91;72.15;75.67;71.57;73.27;71.79;81.06;106.12;106.12
58;98923;23416-VEE-SP085     ;9257                                    ;23416-VEE-SP085;234R16J VEE RUBBER VRM099R      ;3;30;19.70;null;null;null;null;1;1;SCOOTER                                           ;MotoScooter                                       ;91;16;23.83;23.83;23.83;23.83;23.83;23.83;null;null;null;null;null;null;null;null;null;4.13;null;VEE RUBBER                                        ;23.83;32.68;null;29.62;null;null;29.62;null;null;Acqusto(19.70) Margine(7.00) CostoTrasp(5.50) CostoProvv % (1.013);33.01;34.72;33.24;34.35;234R16J VEE RUBBER VRM099R;3.00;5.50;3.00;29.33;23.83;5.50;null;5.50;null;5.89;7.57;6.11;null;7.00;null;null;null;3.00;0.00;29.62;18.49;null;29.62;32.62;29.62;5.        ;null;null;null;null;null;null;null;2.50;null;null;AggPrezAuto(29.62) - PosPrec(5.) - PrezPreced.(29.62) - PrezBasePiatt.(32.62) - Prezzo Min/Max(29.62/32.62) - 1°PrezPiatt(18.49);null;23947;75;48H;UNI;null;null;null;null;null;34.38;32.91;ESTIVO;1;1;null;23416;33.31;33.31;34.35;33.59;37.12;33.01;34.72;33.24;42.62;67.57;67.57
59;547422;2454018-DUN-532694  ;34551                                   ;2454018-DUN-532694;245/40R18 97Y XL DUNLOP SPORT MAXX RT 2      ;3;27;97.71;null;null;null;null;3;7;VETTURA                                           ;Vettura                                           ;4;18;109.12;109.12;109.12;109.12;109.12;109.12;null;null;null;null;null;null;null;null;null;11.41;null;DUNLOP                                            ;109.12;121.32;null;117.53;null;null;117.53;null;null;Acqusto(97.71) Margine(16.00) CostoTrasp(7.25) CostoProvv % (1.013);122.53;125.03;122.53;125.54;245/40R18 97Y XL DUNLOP SPORT MAXX RT 2;10.36;7.25;3.00;116.37;109.12;7.25;null;7.25;null;7.25;9.72;7.25;null;16.00;null;null;null;5.00;0.00;104.12;83.28;null;117.53;122.53;117.53;28.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(117.53) - PosPrec(28.) - PrezPreced.(104.12) - PrezBasePiatt.(122.53) - Prezzo Min/Max(117.53/122.53) - 1°PrezPiatt(83.28);null;81441;6;48H;UNI;null;null;null;null;null;123.79;121.32;ESTIVO;3;7;null;2454018;122.53;122.53;125.54;122.53;127.24;122.53;125.03;122.53;129.74;156.21;156.21
60;529393;2555519-PIR-2322600 ;33270                                   ;2555519-PIR-2322600;255/55R19 111H XL (AO) PIRELLI SCORPION WINTER      ;3;5;185.82;null;null;null;null;2;3;Fuoristrada, Suv e 4x4                            ;Vettura                                           ;7;19;205.58;205.58;205.58;205.58;205.58;205.58;null;null;null;null;null;null;null;null;null;19.76;null;PIRELLI                                           ;205.58;224.78;null;215.42;null;null;215.42;null;null;Acqusto(185.82) Margine(29.00) CostoTrasp(7.71) CostoProvv % (1.013);227.03;227.46;226.72;228.98;255/55R19 111H XL (AO) PIRELLI SCORPION WINTER;16.09;7.71;3.00;213.29;205.58;7.71;null;7.71;null;9.30;9.72;8.99;null;29.00;null;null;null;10.00;0.00;203.65;175.88;null;215.42;225.42;215.42;13.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(215.42) - PosPrec(13.) - PrezPreced.(203.65) - PrezBasePiatt.(225.42) - Prezzo Min/Max(215.42/225.42) - 1°PrezPiatt(175.88);null;140714;2;48H;UNI;null;null;null;null;null;225.21;224.48;INVERNALE;2;3;null;2555519;227.03;227.03;228.98;227.03;229.54;227.03;227.46;226.72;236.36;258.13;258.13
61;521837;2155517-CON-0356651 ;28607                                   ;2155517-CON-0356651;215/55R17 94W Co_SEAL CONTINENTAL ContiPremiumContact 5      ;3;2;118.55;null;null;null;null;2;5;VETTURA                                           ;Vettura                                           ;4;17;132.03;132.03;132.03;132.03;132.03;132.03;null;null;null;null;null;null;null;null;null;13.48;null;CONTINENTAL                                       ;132.03;144.23;null;140.67;null;null;140.67;null;null;Acqusto(118.55) Margine(18.00) CostoTrasp(7.25) CostoProvv % (1.013);145.67;148.17;145.67;148.68;215/55R17 94W Co_SEAL CONTINENTAL ContiPremiumContact 5;11.50;7.25;3.00;139.28;132.03;7.25;null;7.25;null;7.25;9.72;7.25;null;18.00;null;null;null;5.00;0.00;135.61;101.01;null;140.67;145.67;140.67;26.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(140.67) - PosPrec(26.) - PrezPreced.(135.61) - PrezBasePiatt.(145.67) - Prezzo Min/Max(140.67/145.67) - 1°PrezPiatt(101.01);null;12226;7;48H;UNI;null;null;null;null;null;146.70;144.23;ESTIVO;2;5;null;2155517;145.67;145.67;148.68;145.67;150.38;145.67;148.17;145.67;152.81;179.35;179.35
62;521836;2155517-CON-0356650 ;28606                                   ;2155517-CON-0356650;215/55R17 94W CONTINENTAL ContiPremiumContact 5      ;3;10;112.17;null;null;null;null;2;6;VETTURA                                           ;Vettura                                           ;4;17;125.63;125.63;125.63;125.63;125.63;125.63;null;null;null;null;null;null;null;null;null;13.46;null;CONTINENTAL                                       ;125.63;137.83;null;134.21;null;null;134.21;null;null;Acqusto(112.17) Margine(18.00) CostoTrasp(7.25) CostoProvv % (1.013);139.21;141.71;139.21;142.22;215/55R17 94W CONTINENTAL ContiPremiumContact 5;10.20;7.25;3.00;132.88;125.63;7.25;null;7.25;null;7.25;9.72;7.25;null;18.00;null;null;null;5.00;0.00;122.70;98.96;null;134.21;139.21;134.21;32.(1Pz)  ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(134.21) - PosPrec(32.(1Pz)) - PrezPreced.(122.70) - PrezBasePiatt.(139.21) - Prezzo Min/Max(134.21/139.21) - 1°PrezPiatt(98.96);null;8841;7;48H;UNI;null;null;null;null;null;140.31;137.83;ESTIVO;2;6;null;2155517;139.21;139.21;142.22;139.21;143.92;139.21;141.71;139.21;146.37;172.89;172.89
63;508783;2156016-HAN-2001989 ;22948                                   ;2156016-HAN-2001989;215/60R16 103T M+S HANKOOK RA18 Radial      ;3;2;94.83;null;null;null;null;3;5;TRASPORTO LEGGERO                                 ;Vettura                                           ;6;16;106.23;106.23;106.23;106.23;106.23;106.23;null;null;null;null;null;null;null;null;null;11.40;null;HANKOOK                                           ;106.23;121.44;null;115.08;null;null;115.08;null;null;Acqusto(94.83) Margine(16.00) CostoTrasp(7.71) CostoProvv % (1.013);122.65;122.95;122.36;124.16;215/60R16 103T M+S HANKOOK RA18 Radial;13.04;7.71;3.00;113.94;106.23;7.71;null;7.71;null;10.25;10.54;9.96;null;16.00;null;null;null;5.00;0.00;106.97;89.63;null;115.08;120.08;115.08;18.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(115.08) - PosPrec(18.) - PrezPreced.(106.97) - PrezBasePiatt.(120.08) - Prezzo Min/Max(115.08/120.08) - 1°PrezPiatt(89.63);null;82208;52;48H;UNI;null;null;null;null;null;121.73;121.15;ESTIVO;3;5;null;2156016;122.65;122.65;124.16;122.65;124.60;122.65;122.95;122.36;132.90;153.30;153.30
64;521141;2156017-MIC-709354  ;28315                                   ;2156017-MIC-709354;215/60R17 100H XL M+S MICHELIN LATITUDE CROSS      ;3;16;117.44;null;null;null;null;4;6;Fuoristrada, Suv e 4x4                            ;Vettura                                           ;7;17;130.91;130.91;130.91;130.91;130.91;130.91;null;null;null;null;null;null;null;null;null;13.47;null;MICHELIN                                          ;130.91;143.11;null;139.54;null;null;139.54;null;null;Acqusto(117.44) Margine(18.00) CostoTrasp(7.25) CostoProvv % (1.013);144.54;147.05;144.54;147.55;215/60R17 100H XL M+S MICHELIN LATITUDE CROSS;11.92;7.25;3.00;138.16;130.91;7.25;null;7.25;null;7.25;9.72;7.25;null;18.00;null;null;null;5.00;0.00;123.70;104.78;null;139.54;144.54;139.54;24.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(139.54) - PosPrec(24.) - PrezPreced.(123.70) - PrezBasePiatt.(144.54) - Prezzo Min/Max(139.54/144.54) - 1°PrezPiatt(104.78);null;99737;1;48H;UNI;null;null;null;null;null;145.59;143.11;ESTIVO;4;6;null;2156017;144.54;144.54;147.55;144.54;149.26;144.54;147.05;144.54;151.69;178.23;178.23
65;516172;2156017-CON-0356103 ;25269                                   ;2156017-CON-0356103;215/60R17 96V MO CONTINENTAL CONTIECOCONTACT 5      ;3;10;105.62;null;null;null;null;3;6;VETTURA                                           ;Vettura                                           ;4;17;122.01;122.01;122.01;122.01;122.01;122.01;null;null;null;null;null;null;null;null;null;16.39;null;CONTINENTAL                                       ;122.01;129.26;null;130.55;null;null;130.55;null;null;Acqusto(105.62) Margine(16.00) CostoTrasp(7.25) CostoProvv % (1.013);130.55;133.05;130.55;133.55;215/60R17 96V MO CONTINENTAL CONTIECOCONTACT 5;10.30;7.25;3.00;129.26;122.01;7.25;null;7.25;null;7.25;9.72;7.25;null;16.00;null;null;null;5.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.30;null;null;null;null;8678;7;48H;UNI;null;null;null;null;null;131.73;129.26;ESTIVO;3;6;null;2156017;130.55;130.55;133.55;130.55;135.26;130.55;133.05;130.55;137.73;164.23;164.23
66;524646;2156017-BRI-7215    ;31323                                   ;2156017-BRI-7215;215/60R17 96V MO BRIDGESTONE DUELER H/P SPORT      ;3;17;100.10;null;null;null;null;4;7;Fuoristrada, Suv e 4x4                            ;Vettura                                           ;7;17;116.46;116.46;116.46;116.46;116.46;116.46;null;null;null;null;null;null;null;null;null;16.36;null;BRIDGESTONE                                       ;116.46;123.71;null;124.95;null;null;124.95;null;null;Acqusto(100.10) Margine(16.00) CostoTrasp(7.25) CostoProvv % (1.013);124.95;127.46;124.95;127.96;215/60R17 96V MO BRIDGESTONE DUELER H/P SPORT;9.85;7.25;3.00;123.71;116.46;7.25;null;7.25;null;7.25;9.72;7.25;null;16.00;null;null;null;5.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.30;null;null;null;null;86653;11;48H;UNI;null;null;null;null;null;126.20;123.71;ESTIVO;4;7;null;2156017;124.95;124.95;127.96;124.95;129.66;124.95;127.46;124.95;132.16;158.64;158.64
67;512400;2156515-MIC-596066  ;24665                                   ;2156515-MIC-596066;215/65R15 96H MICHELIN ENERGY SAVER +      ;3;2;119.60;null;null;null;null;1;2;VETTURA                                           ;Vettura                                           ;4;15;133.08;133.08;133.08;133.08;133.08;133.08;null;null;null;null;null;null;null;null;null;13.48;null;MICHELIN                                          ;133.08;145.28;null;141.73;null;null;141.73;null;null;Acqusto(119.60) Margine(18.00) CostoTrasp(7.25) CostoProvv % (1.013);146.73;149.24;146.73;149.74;215/65R15 96H MICHELIN ENERGY SAVER +;9.19;7.25;3.00;140.33;133.08;7.25;null;7.25;null;7.25;9.72;7.25;null;18.00;null;null;null;5.00;0.00;141.73;118.26;null;141.73;146.73;141.73;9.        ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(141.73) - PosPrec(9.) - PrezPreced.(141.73) - PrezBasePiatt.(146.73) - Prezzo Min/Max(141.73/146.73) - 1°PrezPiatt(118.26);null;109133;1;48H;UNI;null;null;null;null;null;147.76;145.28;ESTIVO;1;2;null;2156515;146.73;146.73;149.74;146.73;151.44;146.73;149.24;146.73;153.87;180.42;180.42
68;57434;2156516-PIR-1987700 ;18130                                   ;2156516-PIR-1987700;215/65R16 102H XL PIRELLI SCORPION VERDE      ;3;10;98.77;null;null;null;null;1;5;Fuoristrada, Suv e 4x4                            ;Vettura                                           ;7;16;115.14;115.14;115.14;115.14;115.14;115.14;null;null;null;null;null;null;null;null;null;16.37;null;PIRELLI                                           ;115.14;122.39;null;123.61;null;null;123.61;null;null;Acqusto(98.77) Margine(16.00) CostoTrasp(7.25) CostoProvv % (1.013);123.61;126.11;123.61;126.61;215/65R16 102H XL PIRELLI SCORPION VERDE;11.29;7.25;3.00;122.39;115.14;7.25;null;7.25;null;7.25;9.72;7.25;null;16.00;null;null;null;5.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.30;null;null;null;null;486;2;48H;UNI;null;null;null;null;null;124.86;122.39;ESTIVO;2;5;null;2156516;123.61;123.61;126.61;123.61;128.32;123.61;126.11;123.61;130.82;157.29;157.29
69;518628;2156516-DUN-566945  ;26588                                   ;2156516-DUN-566945;215/65R16 109T DUNLOP ECONODRIVE      ;3;30;95.41;null;null;null;null;3;6;TRASPORTO LEGGERO                                 ;Vettura                                           ;6;16;111.77;111.77;111.77;111.77;111.77;111.77;null;null;null;null;null;null;null;null;null;16.36;null;DUNLOP                                            ;111.77;122.02;null;120.67;null;null;120.67;null;null;Acqusto(95.41) Margine(16.00) CostoTrasp(7.71) CostoProvv % (1.013);123.24;123.54;122.95;124.75;215/65R16 109T DUNLOP ECONODRIVE;15.00;7.71;3.00;119.48;111.77;7.71;null;7.71;null;10.25;10.54;9.96;null;16.00;null;null;null;5.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.30;null;null;null;null;81762;6;48H;UNI;null;null;null;null;null;122.32;121.73;ESTIVO;3;6;null;2156516;123.24;123.24;124.75;123.24;125.19;123.24;123.54;122.95;133.48;153.88;153.88
70;520760;2156516-DUN-532242  ;28507                                   ;2156516-DUN-532242;215/65R16 98H M+S DUNLOP GRANDTREK ST20      ;3;8;88.41;null;null;null;null;1;4;Fuoristrada, Suv e 4x4                            ;Vettura                                           ;7;16;102.74;102.74;102.74;102.74;102.74;102.74;null;null;null;null;null;null;null;null;null;14.33;null;DUNLOP                                            ;102.74;109.99;null;111.09;null;null;111.09;null;null;Acqusto(88.41) Margine(14.00) CostoTrasp(7.25) CostoProvv % (1.013);111.09;113.59;111.09;114.09;215/65R16 98H M+S DUNLOP GRANDTREK ST20;11.20;7.25;3.00;109.99;102.74;7.25;null;7.25;null;7.25;9.72;7.25;null;14.00;null;null;null;5.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.30;null;null;null;null;57182;6;48H;UNI;null;null;null;null;null;112.47;109.99;ESTIVO;1;4;null;2156516;111.09;111.09;114.09;111.09;115.80;111.09;113.59;111.09;118.33;144.77;144.77
71;47812;2156516-MIC-286277  ;13274                                   ;2156516-MIC-286277;215/65R16 98H M+S MICHELIN LATITUDE TOUR HP      ;3;30;105.45;null;null;null;null;1;1;Fuoristrada, Suv e 4x4                            ;Vettura                                           ;7;16;116.88;116.88;116.88;116.88;116.88;116.88;null;null;null;null;null;null;null;null;null;11.43;null;MICHELIN                                          ;116.88;129.08;null;125.37;null;null;125.37;null;null;Acqusto(105.45) Margine(16.00) CostoTrasp(7.25) CostoProvv % (1.013);130.37;132.88;130.37;133.38;215/65R16 98H M+S MICHELIN LATITUDE TOUR HP;11.63;7.25;3.00;124.13;116.88;7.25;null;7.25;null;7.25;9.72;7.25;null;16.00;null;null;null;5.00;0.00;125.37;113.40;null;125.37;130.37;125.37;5.        ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(125.37) - PosPrec(5.) - PrezPreced.(125.37) - PrezBasePiatt.(130.37) - Prezzo Min/Max(125.37/130.37) - 1°PrezPiatt(113.40);null;101412;1;48H;UNI;null;null;null;null;null;131.56;129.08;ESTIVO;1;1;null;2156516;130.37;130.37;133.38;130.37;135.08;130.37;132.88;130.37;137.56;164.06;164.06
72;520597;2156516-BRI-4563    ;26948                                   ;2156516-BRI-4563;215/65R16 98V BRIDGESTONE DUELER H/P SPORT      ;3;8;93.92;null;null;null;null;3;4;Fuoristrada, Suv e 4x4                            ;Vettura                                           ;7;16;105.31;105.31;105.31;105.31;105.31;105.31;null;null;null;null;null;null;null;null;null;11.39;null;BRIDGESTONE                                       ;105.31;117.51;null;113.69;null;null;113.69;null;null;Acqusto(93.92) Margine(16.00) CostoTrasp(7.25) CostoProvv % (1.013);118.69;121.20;118.69;121.70;215/65R16 98V BRIDGESTONE DUELER H/P SPORT;10.80;7.25;3.00;112.56;105.31;7.25;null;7.25;null;7.25;9.72;7.25;null;16.00;null;null;null;5.00;0.00;107.38;89.11;null;113.69;118.69;113.69;23.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(113.69) - PosPrec(23.) - PrezPreced.(107.38) - PrezBasePiatt.(118.69) - Prezzo Min/Max(113.69/118.69) - 1°PrezPiatt(89.11);null;84957;11;48H;UNI;null;null;null;null;null;120.00;117.51;ESTIVO;3;4;null;2156516;118.69;118.69;121.70;118.69;123.40;118.69;121.20;118.69;125.92;152.38;152.38
73;47891;2157015-CON-0451400 ;5453                                    ;2157015-CON-0451400;215/70R15 109R CONTINENTAL VancoCamper      ;3;30;122.46;null;null;null;null;2;3;TRASPORTO LEGGERO                                 ;Vettura                                           ;6;15;135.95;135.95;135.95;135.95;135.95;135.95;null;null;null;null;null;null;null;null;null;13.49;null;CONTINENTAL                                       ;135.95;151.16;null;145.10;null;null;145.10;null;null;Acqusto(122.46) Margine(18.00) CostoTrasp(7.71) CostoProvv % (1.013);152.67;152.96;152.38;154.18;215/70R15 109R CONTINENTAL VancoCamper;15.20;7.71;3.00;143.66;135.95;7.71;null;7.71;null;10.25;10.54;9.96;null;18.00;null;null;null;5.00;0.00;141.56;106.96;null;145.10;150.10;145.10;47.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(145.10) - PosPrec(47.) - PrezPreced.(141.56) - PrezBasePiatt.(150.10) - Prezzo Min/Max(145.10/150.10) - 1°PrezPiatt(106.96);null;12460;7;48H;UNI;null;null;null;null;null;151.45;150.87;ESTIVO;2;3;null;2157015;152.67;152.67;154.18;152.67;154.61;152.67;152.96;152.38;162.82;183.31;183.31
74;520823;2157015-DUN-568571  ;25575                                   ;2157015-DUN-568571;215/70R15 109S DUNLOP ECONODRIVE      ;3;19;85.81;null;null;null;null;3;6;TRASPORTO LEGGERO                                 ;Vettura                                           ;6;15;95.18;95.18;95.18;95.18;95.18;95.18;null;null;null;null;null;null;null;null;null;9.37;null;DUNLOP                                            ;95.18;110.39;null;103.92;null;null;103.92;null;null;Acqusto(85.81) Margine(14.00) CostoTrasp(7.71) CostoProvv % (1.013);111.49;111.78;111.20;113.00;215/70R15 109S DUNLOP ECONODRIVE;13.87;7.71;3.00;102.89;95.18;7.71;null;7.71;null;10.25;10.54;9.96;null;14.00;null;null;null;5.00;0.00;94.32;73.70;null;103.92;108.92;103.92;32.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(103.92) - PosPrec(32.) - PrezPreced.(94.32) - PrezBasePiatt.(108.92) - Prezzo Min/Max(103.92/108.92) - 1°PrezPiatt(73.70);null;70889;6;48H;UNI;null;null;null;null;null;110.67;110.10;ESTIVO;3;6;null;2157015;111.49;111.49;113.00;111.49;113.44;111.49;111.78;111.20;121.77;142.13;142.13
75;532963;2253518-BRI-75350   ;31954                                   ;2253518-BRI-75350;225/35R18 87W XL AO BRIDGESTONE Potenza S001      ;3;2;115.85;null;null;null;null;2;4;VETTURA                                           ;Vettura                                           ;4;18;129.31;129.31;129.31;129.31;129.31;129.31;null;null;null;null;null;null;null;null;null;13.46;null;BRIDGESTONE                                       ;129.31;141.51;null;137.93;null;null;137.93;null;null;Acqusto(115.85) Margine(18.00) CostoTrasp(7.25) CostoProvv % (1.013);142.93;145.44;142.93;145.94;225/35R18 87W XL AO BRIDGESTONE Potenza S001;9.37;7.25;3.00;136.56;129.31;7.25;null;7.25;null;7.25;9.72;7.25;null;18.00;null;null;null;5.00;0.00;132.85;107.97;null;137.93;142.93;137.93;14.       ;null;null;null;null;null;null;null;1.30;null;null;AggPrezAuto(137.93) - PosPrec(14.) - PrezPreced.(132.85) - PrezBasePiatt.(142.93) - Prezzo Min/Max(137.93/142.93) - 1°PrezPiatt(107.97);null;106744;11;48H;UNI;null;null;null;null;null;144.00;141.51;ESTIVO;2;4;null;2253518;142.93;142.93;145.94;142.93;147.64;142.93;145.44;142.93;150.09;176.62;176.62
76;526029;2254018-PIR-2540400 ;30864                                   ;2254018-PIR-2540400;225/40R18 88Y (N4) PIRELLI PZERO ROSSO      ;3;7;101.83;null;null;null;null;3;7;VETTURA                                           ;Vettura                                           ;4;18;118.21;118.21;118.21;118.21;118.21;118.21;null;null;null;null;null;null;null;null;null;16.38;null;PIRELLI                                           ;118.21;125.46;null;126.71;null;null;126.71;null;null;Acqusto(101.83) Margine(16.00) CostoTrasp(7.25) CostoProvv % (1.013);126.71;129.21;126.71;129.71;225/40R18 88Y (N4) PIRELLI PZERO ROSSO;9.21;7.25;3.00;125.46;118.21;7.25;null;7.25;null;7.25;9.72;7.25;null;16.00;null;null;null;5.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.30;null;null;null;null;86040;2;48H;UNI;null;null;null;null;null;127.93;125.46;ESTIVO;3;7;null;2254018;126.71;126.71;129.71;126.71;131.42;126.71;129.21;126.71;133.91;160.39;160.39
77;528547;2254018-CON-0356512 ;20342                                   ;2254018-CON-0356512;225/40R18 92Y XL CONTINENTAL CONTISPORTCONTACT 5      ;3;6;85.77;null;null;null;null;3;6;VETTURA                                           ;Vettura                                           ;4;18;100.09;100.09;100.09;100.09;100.09;100.09;null;null;null;null;null;null;null;null;null;14.32;null;CONTINENTAL                                       ;100.09;107.34;null;108.41;null;null;108.41;null;null;Acqusto(85.77) Margine(14.00) CostoTrasp(7.25) CostoProvv % (1.013);108.41;110.91;108.41;111.42;225/40R18 92Y XL CONTINENTAL CONTISPORTCONTACT 5;9.00;7.25;3.00;107.34;100.09;7.25;null;7.25;null;7.25;9.72;7.25;null;14.00;null;null;null;5.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.30;null;null;null;null;3776;7;48H;UNI;null;null;null;null;null;109.81;107.34;ESTIVO;3;6;null;2254018;108.41;108.41;111.42;108.41;113.12;108.41;110.91;108.41;115.67;142.09;142.09
78;98490;2254018-CON-0350739 ;20343                                   ;2254018-CON-0350739;225/40R18 92Y XL MO CONTINENTAL CONTISPORTCONTACT 5      ;3;13;86.54;null;null;null;null;3;6;VETTURA                                           ;Vettura                                           ;4;18;100.86;100.86;100.86;100.86;100.86;100.86;null;null;null;null;null;null;null;null;null;14.32;null;CONTINENTAL                                       ;100.86;108.11;null;109.19;null;null;109.19;null;null;Acqusto(86.54) Margine(14.00) CostoTrasp(7.25) CostoProvv % (1.013);109.19;111.69;109.19;112.20;225/40R18 92Y XL MO CONTINENTAL CONTISPORTCONTACT 5;9.60;7.25;3.00;108.11;100.86;7.25;null;7.25;null;7.25;9.72;7.25;null;14.00;null;null;null;5.00;0.00;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1.30;null;null;null;null;251;7;48H;UNI;null;null;null;null;null;110.58;108.11;ESTIVO;4;6;null;2254018;109.19;109.19;112.20;109.19;113.90;109.19;111.69;109.19;116.44;142.87;142.87
