NomeListino;CifraIn;CifraOut;Margine;Marg+;Marg-;Settore;CostoTrasportoIt;ProvvPiatt;TipoListForn;Chiusura;Id;Marg-Estivo;Marg-AS;Marg-Invernale
TYRE24;0.00;30.00;7.00;0.00;3.00;MotoScooter;4.40;2.50;48H;0x00000006948B6635;103;0.00;0.00;0.00
TYRE24;30.01;40.00;8.00;0.00;3.00;MotoScooter;4.40;2.50;48H;0x00000006948B6636;104;0.00;0.00;0.00
TYRE24;40.01;50.00;8.50;0.00;3.00;MotoScooter;4.40;2.50;48H;0x00000006948B6637;105;0.00;0.00;0.00
TYRE24;50.01;60.00;10.00;0.00;3.00;MotoScooter;4.40;2.50;48H;0x00000006948B6638;106;0.00;0.00;0.00
TYRE24;60.01;75.00;11.00;0.00;3.00;MotoScooter;4.40;2.50;48H;0x00000006948B6639;107;0.00;0.00;0.00
TYRE24;75.01;90.00;13.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B663A;108;0.00;0.00;0.00
TYRE24;90.01;110.00;15.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B663B;109;0.00;0.00;0.00
TYRE24;110.01;130.00;17.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B663C;110;0.00;0.00;0.00
TYRE24;130.01;160.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B663D;111;0.00;0.00;0.00
TYRE24;160.01;190.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B663E;112;0.00;0.00;0.00
TYRE24;190.01;230.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B663F;113;0.00;0.00;0.00
TYRE24;230.01;270.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B6640;114;0.00;0.00;0.00
TYRE24;270.01;300.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B6641;115;0.00;0.00;0.00
TYRE24;300.01;9999.00;21.00;0.00;4.00;MotoScooter;4.40;2.50;48H;0x00000006948B6642;116;0.00;0.00;0.00
TYRE24;0.00;30.00;7.00;0.00;3.00;MotoScooter;0.00;2.50;72H;0x00000006948B6643;117;0.00;0.00;0.00
TYRE24;30.01;40.00;8.00;0.00;3.00;MotoScooter;0.00;2.50;72H;0x00000006948B6644;118;0.00;0.00;0.00
TYRE24;40.01;50.00;8.50;0.00;3.00;MotoScooter;0.00;2.50;72H;0x00000006948B6645;119;0.00;0.00;0.00
TYRE24;50.01;60.00;10.00;0.00;3.00;MotoScooter;0.00;2.50;72H;0x00000006948B6646;120;0.00;0.00;0.00
TYRE24;60.01;75.00;11.00;0.00;3.00;MotoScooter;0.00;2.50;72H;0x00000006948B6647;121;0.00;0.00;0.00
TYRE24;75.01;90.00;13.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B6648;122;0.00;0.00;0.00
TYRE24;90.01;110.00;15.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B6649;123;0.00;0.00;0.00
TYRE24;110.01;130.00;17.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B664A;124;0.00;0.00;0.00
TYRE24;130.01;160.00;21.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B664B;125;0.00;0.00;0.00
TYRE24;160.01;190.00;21.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B664C;126;0.00;0.00;0.00
TYRE24;190.01;230.00;21.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B664D;127;0.00;0.00;0.00
TYRE24;230.01;270.00;21.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B664E;128;0.00;0.00;0.00
TYRE24;270.01;300.00;21.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B664F;129;0.00;0.00;0.00
TYRE24;300.01;9999.00;21.00;0.00;4.00;MotoScooter;0.00;2.50;72H;0x00000006948B6650;130;0.00;0.00;0.00
TYRE24;0.00;30.00;5.50;0.00;2.00;Vettura;0.00;1.30;72H;0x00000006948B6651;131;0.00;0.00;0.00
TYRE24;30.01;40.00;6.50;0.00;2.50;Vettura;0.00;1.30;72H;0x00000006948B6652;132;0.00;0.00;0.00
TYRE24;40.01;50.00;8.50;0.00;3.00;Vettura;0.00;1.30;72H;0x00000006948B6653;133;0.00;0.00;0.00
