Codice;Descr;NostroPrezzo;MigliorPrezzo;Posizione;Differenza;PrezzoPer1Pos;PrezzoPiattOffSpec;PrezzoAcq;PrezzoMinimo;PrezzoMassimo;RicaricoCalcolato;Nota;PrezzoRicalcolato;MargineLimite;TipoRegola;Ranking;IdArtico;IdTyre24;IdOfferteSpec
1507014-MIC-320387            ;MICHELIN GR-SAV 150/70 -14 66S TL/TT                                                                ;68,88;63,13;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;865541              ;null
1507014-MIT-MIT70000          ;MITAS TOU-SC 150/70 -14 66 S TL                                                                     ;59,78;40,8;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;762307              ;null
1507014-PIR-2769200           ;PIRELLI RO-SCO 150/70 -14 66 S TL                                                                   ;62,82;51;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;386817              ;null
1507014-PIR-2771800           ;PIR. 150/70 -14 66 P TL ANGEL SCOOTER                                                               ;60,54;49;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;620984              ;null
1507014-PIR-2771900           ;PIR. 150/70 -14 66 S TL ANGEL SCOOTER                                                               ;62,82;52,17;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;383746              ;null
1507017-AVO-2140112           ;AVON 150/70 V17 (69V )TL ROADRIDER MKII                                                             ;139,64;102,5;7.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;695933              ;null
1507017-BRI-10544             ;BRI. 150/70ZR17 (69W) TL T31 R                                                                      ;101,64;80,33;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;616485              ;null
1507017-BRI-10568             ;BRI. 150/70 R17 69 V TL A41 R                                                                       ;129,03;100,73;29.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;616512              ;null
1507017-BRI-13531             ;BRI. 150/70 R17 69 V TL A41 R                                                                       ;138,15;119,63;15.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;616513              ;null
1507017-BRI-16628             ;BRI. 150/70 B17 69Q TL AX41                                                                         ;138,47;111,08;24.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;655517              ;null
1507017-BRI-17400             ;BRI. 150/70 -17 69 H TL BT46 REAR                                                                   ;120,07;91,32;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;697673              ;null
1507017-BRI-19625             ;BRI. 150/70ZR17 (69W) TL T32                                                                        ;120,58;97,9;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;726112              ;null
1507017-BRI-24743             ;BRI. 150/70 R17 69V TL AT41R ADVENTURE TRAIL                                                        ;132,63;101,38;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;765624              ;null
1507017-BRI-30632             ;Pneumatico Bridgest T33R 150/70ZR17 (69W) TL                                                        ;141,07;110,45;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;881773              ;null
1507017-CON-0244385           ;CON. 150/70 R17 69 V TL TKC 70                                                                      ;122,79;104,56;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;289773              ;null
1507017-CON-0244533           ;CON. 150/70 R17 69 V TL TRAIL ATTACK 3                                                              ;127,76;110,17;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;655244              ;null
1507017-CON-0244639           ;CON. 150/70 R17 69 S TL TKC70 ROCKS                                                                 ;129,13;110,16;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;701856              ;null
