Codice;Descr;NostroPrezzo;MigliorPrezzo;Posizione;Differenza;PrezzoPer1Pos;PrezzoPiattOffSpec;PrezzoAcq;PrezzoMinimo;PrezzoMassimo;RicaricoCalcolato;Nota;PrezzoRicalcolato;MargineLimite;TipoRegola;Ranking;IdArtico;IdTyre24;IdOfferteSpec
1508016-PIR-2925200           ;PIR. 150/80 B16 77 H M/C TL MT60RS                                                                  ;102,54;78,18;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;622302              ;null
1508016-PIR-4026000           ;PIR. 150/80 V16 (71V) TL SPORT DEMON                                                                ;132,35;119,74;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;790105              ;null
1509015-BRI-6090              ;BRI. 150/90 B15 74 V TL EXEDRA MAX R                                                                ;142,63;110,4;27.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;246064              ;null
1509015-CON-0240287           ;CON. 150/90 -15 80 H TL RF CONTI TOUR                                                               ;135,67;113,43;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;376792              ;null
1509015-DUN-650759            ;DUN. 150/90B15 74 H TL MC D404WW                                                                    ;205,7;162,31;17.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;9911                ;null
1509015-DUN-651142            ;DUN. 150/90 -15 74 V TL MCK525WLT                                                                   ;163,34;133,02;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;9942                ;null
1509015-DUN-657219            ;DUN. 150/90 B15 74 H TL D404                                                                        ;137,07;106,1;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;19781               ;null
1509015-MET-2616500           ;MET. 150/90 B15 80 H TL ME888                                                                       ;163,17;114,62;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;601619              ;null
15512-EV1-32200116            ;EVERGREE ES88 155 R12 88/86 P                                                                       ;45,93;45,84;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;874005              ;null
15512-FAL-336636              ;FALKEN LI-VAN 155 R12 88/86 R                                                                       ;59,83;49,39;29.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;697041              ;null
15512-KUM-2233803             ;KUMHO KC53 155 R12C 88/86R                                                                          ;56,02;46,59;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;630367              ;null
15512-LAV-HH445H1             ;LANVIGAT MILE-M 155 R12 88/86Q                                                                      ;45,19;29,54;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;630701              ;null
15512-NAN-EB031               ;NANKANG CW 25 155 R12C 88/86 Q                                                                      ;45,09;27,91;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;706683              ;null
15512-SUF-201S9002            ;SUNFULL SF05 155 R12 88/86 Q                                                                        ;38,78;32,18;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;345554              ;null
15512-VEE-SP146A              ;VEE RUBB VTR313 155 R12 88 N                                                                        ;55,94;34,99;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;257697              ;null
15513-EV1-32290002            ;EVERGREE ES88 155 R13 85 Q                                                                          ;50,16;50,17;4.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;192965              ;null
15513-FAL-336637              ;FALKEN LI-VAN 155 R13 85/83 R                                                                       ;65,45;53,17;27.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;697040              ;null
15513-MAX-00026313            ;MAXXIS UE168 155 R13 91/89 N 8PR                                                                    ;54,34;40,56;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;313172              ;null
15513-MAX-ETL00145            ;MAXXIS UE168 155 R13 91/89N                                                                         ;54,34;45,62;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;879189              ;null
15513-PET-PE402870            ;PETLAS VA-AS+ 155 R13 90/89R                                                                        ;66,59;54,92;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;842054              ;null
15513-SUF-201S9004            ;SUNFULL SF05 155 R13 90/88 Q                                                                        ;38,78;36,32;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;345555              ;null
15515-VRE-053306              ;VREDEST. SPRINT 155 R15 82 S                                                                        ;110,14;81,52;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;11373               ;null
1556015-BAR-1540698           ;BARUM BRAV-5 155/60 R15 74 T                                                                        ;54,92;43,38;20.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;654502              ;null
1556015-BRI-13800             ;BRIDGEST T005 155/60 R15 74 T                                                                       ;79,07;63;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;658223              ;null
1556015-CON-0353252           ;CONTI TS 800 155/60 R15 74 T                                                                        ;98,32;84,44;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;40397               ;null
1556015-CON-0358222           ;CONTI ECO-3 155/60 R15 74 T                                                                         ;84,2;68,84;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;638906              ;null
1556015-EV1-32290013          ;EVERGREE EH226 155/60 R15 74 H                                                                      ;43,9;43,45;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;632104              ;null
1556015-FAL-332586            ;FALKEN AS210 155/60 R15 74 T                                                                        ;59,83;47,24;22.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;636814              ;null
1556015-FAL-353737            ;FALKEN HS02 155/60 R15 74 T                                                                         ;59,57;54,08;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;828457              ;null
1556015-HAN-1020473           ;HANKOOK W452 155/60 R15 74 T                                                                        ;69,14;61,16;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;362301              ;null
1556015-MAX-42253917          ;MAXXIS ARCTIC 155/60 R15 74 T                                                                       ;60,87;44,76;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;296176              ;null
1556015-MAX-ETP00065          ;MAXXIS ME3 155/60 R15 74 T                                                                          ;48,69;44,04;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;663269              ;null
1556015-NAN-JB506             ;NANKANG AS1 155/60 R15 74 V                                                                         ;46,02;36,12;7.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;669775              ;null
1556015-NEX-11571NXC          ;NEXEN BLUE4S 155/60 R15 74 T                                                                        ;54,66;39,5;30.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;797797              ;null
1556015-NEX-16764NX           ;NEXEN N-BLUE 155/60 R15 74 T                                                                        ;45,98;37,82;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;696782              ;null
1556015-NEX-19320NXC          ;NEXEN NBLUES 155/60 R15 74 T                                                                        ;48,03;42,56;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;884044              ;null
1556015-RDM-3ERM523           ;ROADMAR. ECO-99 155/60 R15 74 T                                                                     ;33,76;31,84;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;763755              ;null
1556015-SUF-500S1058          ;SUNFULL SF-983 155/60 R15 74 H                                                                      ;39,77;37,42;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;751132              ;null
1556015-UNI-0363385           ;UNIROYAL AL-EX2 155/60 R15 75 T                                                                     ;68,39;54,29;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;744353              ;null
1556015-WS-G9701DSH           ;WESTLAKE Z401 155/60 R15 74 T                                                                       ;40,99;27,6;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;755710              ;null
1556020-CON-0312176           ;CONTI ECO-6 155/60 R20 80 Q                                                                         ;118,47;103,47;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;726841              ;null
1556020-GRI-GR80421           ;GRIPMAX SG-A/S 155/60 R20 80 H                                                                      ;88,17;71,31;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;808600              ;null
1556020-MIC-236094            ;MICHELIN E-PRIM 155/60 R20 80 Q                                                                     ;132,32;114,64;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;741923              ;null
1556513-BAR-1540383           ;BARUM BRIL-2 155/65 R13 73 T                                                                        ;43,34;37;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;59407               ;null
1556513-BAR-1541290           ;BARUM POLA-5 155/65 R13 73 T                                                                        ;46,73;41,19;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;630412              ;null
1556513-GOO-528297            ;GOODYEAR EFFIGR 155/65 R13 73 T                                                                     ;68,24;60,33;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;253186              ;null
1556513-GRI-GR66162           ;GRIPMAX NANO 155/65 R13 73 H                                                                        ;42;35,2;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;849724              ;null
1556513-HAN-1010659           ;HANKOOK W442 155/65 R13 73 T                                                                        ;58,34;47,82;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;68031               ;null
1556513-HAN-1022698           ;HANKOOK K435 155/65 R13 73 T                                                                        ;52,66;40,69;35.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;622201              ;null
1556513-KUM-2261483           ;KUMHO ES31 155/65 R13 73 T                                                                          ;45,28;34,63;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;661408              ;null
1556513-LAU-1026640           ;LAUFENN GF-EQ+ 155/65 R13 73 T                                                                      ;37,8;31,5;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;704586              ;null
1556513-LIL-72735             ;LINGLONG GR-ECO 155/65 R13 73 T                                                                     ;38,97;26,8;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;221494              ;null
1556513-MAX-42201310          ;MAXXIS AP2-AS 155/65 R13 73 T                                                                       ;48,24;47,26;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;374057              ;null
1556513-MAX-42201312          ;MAXXIS PR-AP3 155/65 R13 73 T                                                                       ;49,1;44,52;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;782257              ;null
1556513-MIR-675776            ;MIRAGE MR762 155/65 R13 73 T                                                                        ;44,89;37,29;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;675776              ;null
1556513-NAN-J7973             ;NANKANG NS-2R 155/65 R13 73 H                                                                       ;57,92;54,34;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;862498              ;null
1556513-NAN-JC856             ;NANKANG N-607+ 155/65 R13 73 T                                                                      ;42,71;32,54;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;378881              ;null
1556513-NAN-JD537             ;NANKANG SP9 155/65 R13 73 T                                                                         ;44,15;39,83;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;721079              ;null
1556513-NAN-JY215             ;NANKANG SV-3 155/65 R13 73 T                                                                        ;47,45;35,2;7.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;396331              ;null
1556513-NEX-NX15029           ;NEXEN SNOW-G 155/65 R13 73 T                                                                        ;52,64;32,89;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;354861              ;null
1556513-NEX-NX15094           ;NEXEN N-BLUE 155/65 R13 73 T                                                                        ;44,77;30,84;27.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;372551              ;null
1556513-OVA-69539131          ;OVATION VI-682 155/65 R13 73 T                                                                      ;36,6;28;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;243795              ;null
1556513-PET-00047355          ;PETLAS PT311 155/65 R13 73 T                                                                        ;41,36;30,88;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;250306              ;null
1556513-RIK-397226            ;RIKEN ROAD 155/65 R13 73 T                                                                          ;42,97;29,45;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;659622              ;null
1556513-SAV-527184            ;SAVA ES S3+ 155/65 R13 73 Q                                                                         ;44,66;37,71;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;67664               ;null
1556513-SAV-547544            ;SAVA PERFEC 155/65 R13 73 T                                                                         ;45,59;32,99;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;655172              ;null
1556513-SLU-SAI6958           ;SAILUN WSL3+ 155/65 R13 73 T                                                                        ;43,26;31,45;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;680998              ;null
1556513-SUF-201S2037          ;SUNFULL SF-688 155/65 R13 73 T                                                                      ;36,44;21,94;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;345142              ;null
1556513-SUF-500S1016          ;SUNFULL SF-983 155/65 R13 73 T                                                                      ;41,18;38,43;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;382438              ;null
1556513-UNI-62738000          ;UNIROYAL RA-EX3 155/65 R13 73 T                                                                     ;56,89;40,6;32.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;296214              ;null
1556513-VKG-1562060           ;VIKING CITY-2 155/65 R13 73 T                                                                       ;53,04;40,92;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;217852              ;null
1556513-WS-08801D88           ;WESTLAKE SW618 155/65 R13 73 T                                                                      ;42,07;42,07;1.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;814868              ;null
1556513-WS-08801D8G           ;WESTLAKE Z107 155/65 R13 73 T                                                                       ;35,49;26,3;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;763526              ;null
1556513-WS-08801D8H           ;WESTLAKE Z401 155/65 R13 73 T                                                                       ;38,96;25,78;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;825517              ;null
1556514-APL-2AP2132H          ;A-PLUS A701 155/65 R14 75 T                                                                         ;44,05;27,42;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;745364              ;null
1556514-BAR-1540667           ;BARUM QUA-5 155/65 R14 75 T                                                                         ;42,12;33,7;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;625565              ;null
1556514-BAR-1541568           ;BARUM POL-6 155/65 R14 75 T                                                                         ;46,22;39,42;7.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;884769              ;null
1556514-CON-0312306           ;CONTINEN ULT-CO 155/65 R14 75 T                                                                     ;71,37;58,48;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;754125              ;null
1556514-CON-0358816           ;CONTI ALLSEA 155/65 R14 75 T                                                                        ;61,6;49,95;28.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;625696              ;null
1556514-COO-590907            ;COOPER CS-7 155/65 R14 75 T                                                                         ;47;35,21;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;618125              ;null
1556514-EV1-32200151          ;EVERGREE EA719 155/65 R14 75 T                                                                      ;43,97;42,58;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;829025              ;null
1556514-EV1-32290062          ;EVERGREE EH226 155/65 R14 79 T XL                                                                   ;41,39;40,46;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;605451              ;null
1556514-FAL-336208            ;FALKEN HS01 155/65 R14 75 T                                                                         ;56,88;45,14;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;672180              ;null
1556514-FIR-16729             ;FIRESTON MULTI2 155/65 R14 79 T XL                                                                  ;47,48;40,31;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;689395              ;null
1556514-FUL-539184            ;FULDA MULTI 155/65 R14 75 T                                                                         ;45,52;39,32;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;360692              ;null
1556514-GRI-GR65950           ;GRIPMAX NANO 155/65 R14 75 H                                                                        ;42,38;33,83;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;849774              ;null
1556514-HAN-1020966           ;HANKOOK K435 155/65 R14 75 T                                                                        ;50,12;39,95;32.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;617098              ;null
1556514-HAN-1027725           ;HANKOOK H750 155/65 R14 75 T                                                                        ;49,86;40,69;22.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;745922              ;null
1556514-KLE-120473            ;KLEBER QUAD-2 155/65 R14 75 T                                                                       ;50,38;47,91;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;705271              ;null
1556514-KLE-KL679793          ;KLEBER QUAD-3 155/65 R14 75 T                                                                       ;53,58;44,97;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;879433              ;null
1556514-KUM-2290493           ;KUMHO WP52 155/65 R14 75 T                                                                          ;45,29;41,22;6.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;782401              ;null
1556514-LAU-1026641           ;LAUFENN GF-EQ+ 155/65 R14 75 T                                                                      ;37,8;33,99;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;697793              ;null
1556514-LAU-1027270           ;LAUFENN LW31+ 155/65 R14 75 T                                                                       ;43,03;36;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;709437              ;null
1556514-LIL-00047257          ;LINGLONG WIN-HP 155/65 R14 75 T                                                                     ;42,12;41,56;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;289778              ;null
1556514-MAX-42202242          ;MAXXIS PR-AP3 155/65 R14 79 T XL                                                                    ;48,24;39,82;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;782258              ;null
1556514-MAX-42202270          ;MAXXIS ARCTIC 155/65 R14 79 T XL                                                                    ;57,57;43,1;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;283565              ;null
1556514-MAX-ETP02178          ;MAXXIS ME3 155/65 R14 75 T                                                                          ;47,7;38,72;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;647301              ;null
1556514-NAN-JC857             ;NANKANG N-607+ 155/65 R14 75 T                                                                      ;44,15;30,71;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;369575              ;null
1556514-NEX-16537NX           ;NEXEN SNO-G3 155/65 R14 75 T                                                                        ;48,62;36,67;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;675751              ;null
1556514-NEX-16717NX           ;NEXEN N-BLUE 155/65 R14 75 T                                                                        ;42,61;34,12;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;677859              ;null
1556514-NEX-17696NX           ;NEXEN SNO-G3 155/65 R14 79 T XL                                                                     ;46,25;38,46;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;745028              ;null
1556514-NEX-19283NXC          ;NEXEN NBLUES 155/65 R14 75 T                                                                        ;44,18;39,89;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;884904              ;null
1556514-OVA-69539131          ;OVATION VI682 155/65 R14 75 T                                                                       ;37,6;31,03;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;215609              ;null
1556514-PET-00047356          ;PETLAS PT311 155/65 R14 75 T                                                                        ;44,24;34,44;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;244968              ;null
1556514-RIK-121371            ;RIKEN SNO-B2 155/65 R14 75 T                                                                        ;42,38;34,21;6.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;291083              ;null
1556514-RIK-777525            ;RIKEN ROAD 155/65 R14 75 T                                                                          ;42,78;28,17;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;659625              ;null
1556514-RIK-797044            ;RIKEN ALLSEA 155/65 R14 75 T                                                                        ;45,29;37,9;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;705864              ;null
1556514-SAV-536192            ;SAVA ES S3+ 155/65 R14 75 T                                                                         ;43,64;38,81;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;318920              ;null
1556514-SLU-SAI6959           ;SAILUN WSL3+ 155/65 R14 75 T                                                                        ;44,28;34,98;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;681000              ;null
1556514-SUF-500S1018          ;SUNFULL SF-983 155/65 R14 75 T                                                                      ;43,6;41,17;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;382440              ;null
1556514-TAU-TA683189          ;TAURUS ALLSEA 155/65 R14 75 T                                                                       ;49,64;36,1;17.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;712452              ;null
1556514-UNI-0362961           ;UNIROYAL AL-EX2 155/65 R14 75 T                                                                     ;49,97;39,19;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;625613              ;null
1556514-VKG-1562049           ;VIKING CITY-2 155/65 R14 75 T                                                                       ;55,19;39,42;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;214971              ;null
1557012-LAV-HH1948H1          ;LANVIGAT COMF-2 155/70 R12 73 T                                                                     ;37,7;25,96;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;733964              ;null
1557012-NAN-EB122             ;NANKANG TR 10 155/70 R12 104/102 N                                                                  ;56,68;36,56;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;665517              ;null
1557012-NAN-JD548             ;NANKANG XR611 155/70 R12 77 T XL                                                                    ;46,02;35,67;9.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;686202              ;null
1557012-OVA-69539131          ;OVATION VI-682 155/70 R12 73 T                                                                      ;36,6;31,34;6.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;242730              ;null
1557012-RDM-3ERM503           ;ROADMAR. ECO-99 155/70 R12 73 T                                                                     ;32,79;31,13;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;789319              ;null
1557013-APL-AP962H1           ;A-PLUS A909 155/70 R13 75 T                                                                         ;42,02;25,83;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;684405              ;null
1557013-BAR-1540668           ;BARUM QUA-5 155/70 R13 75 T                                                                         ;39,39;29,79;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;625141              ;null
1557013-BAR-1541198           ;BARUM POLA-5 155/70 R13 75 T                                                                        ;45,43;39,13;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;628499              ;null
1557013-CON-0358324           ;CONTI ECO-6 155/70 R13 75 T                                                                         ;62,35;52,25;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;645503              ;null
1557013-EV1-32290052          ;EVERGREE EH226 155/70 R13 75 T                                                                      ;38,9;37,71;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;379647              ;null
1557013-FAL-332565            ;FALKEN AS210 155/70 R13 75 T                                                                        ;45,25;38,47;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;636734              ;null
1557013-FAL-333016            ;FALKEN HS01 155/70 R13 75 T                                                                         ;54,92;49,99;4.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;639107              ;null
1557013-GOO-528883            ;GOODYEAR V4S-G2 155/70 R13 75 T                                                                     ;58,44;45,4;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;321867              ;null
1557013-HAN-1010157           ;HANKOOK W442 155/70 R13 75 T                                                                        ;52,42;47,4;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;67950               ;null
1557013-HAN-1018519           ;HANKOOK K425 155/70 R13 75 T                                                                        ;44,49;35,98;17.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;337459              ;null
1557013-HAN-1021059           ;HANKOOK H740 155/70 R13 75 T                                                                        ;48,32;40,09;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;387865              ;null
1557013-KUM-2290463           ;KUMHO WP52 155/70 R13 75 T                                                                          ;44,92;37,34;11.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;782397              ;null
1557013-LAU-1026642           ;LAUFENN GF-EQ+ 155/70 R13 75 T                                                                      ;36,71;29;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;688570              ;null
1557013-LAU-1027142           ;LAUFENN LW31+ 155/70 R13 75 T                                                                       ;44,8;33,16;17.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;709454              ;null
1557013-LAU-1029876           ;LAUFENN LH71 155/70 R13 75 T                                                                        ;37,8;30,5;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;775684              ;null
1557013-LEA-LE72827           ;LEAO HP100 155/70 R13 75 T                                                                          ;41,72;35,66;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;864280              ;null
1708015-DUN-656278            ;DUN. 170/80- 15 77 S TT MC D404G                                                                    ;144,87;104,83;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;138393              ;null
1708015-MAX-72723550          ;MAXXIS M6011R 170/80 -15 77 H TL                                                                    ;116,5;89,46;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;147237              ;null
1708015-MET-2407900           ;MET. 170/80 B15 77 H TL ME888                                                                       ;227,62;169,51;22.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;284234              ;null
1708015-MIC-102708            ;MIC. 170/80 B15 77 H TL/TT COMMANDER II                                                             ;160,93;128,23;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;403877              ;null
1708015-MIC-307669            ;MIC. 170/80 B15 77 H TT/TL COMMANDER 3 C                                                            ;171,09;135,9;24.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;695802              ;null
1708015-MIT-MIT70000          ;MITAS 170/80 B15 77 H TL CUSTOM FORCE                                                               ;128,62;107,29;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;750275              ;null
1708015-PIR-2592500           ;PIR. 170/80 B15 77 H TL NIGHT DRAG. GT                                                              ;177,63;120,01;18.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;342823              ;null
175013-MAX-ETL00016           ;MAXXIS UE168 175 R13 97/95N                                                                         ;61,44;59;3.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;838878              ;null
17513-HAN-2001073             ;HANKOOK RA08 175 R13C 97/95Q 8PR                                                                    ;75,95;58,67;31.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;242530              ;null
17513-HAN-2001510             ;HANKOOK RA08 175 R13C 97/95Q 8PR                                                                    ;76,35;62,06;10.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;245179              ;null
17513-MAX-42502500            ;MAXXIS UE168 175 R13C 97 N 8PR                                                                      ;63,99;51,67;11.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;30544               ;null
17513-SUF-201S9039            ;SUNFULL SF05 175 R13 97/95 R                                                                        ;48,61;46,74;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;810892              ;null
17514-EV1-32290059            ;EVERGRE. ES88 175 R14 99/98Q                                                                        ;60,73;56,86;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;365795              ;null
17514-NAN-EB025               ;NANKANG CW 25 175    R14C 99/98 R                                                                   ;57,92;43,46;7.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;701641              ;null
17514-SAV-577420              ;SAVA TRENTA 175 R14C 99/98P                                                                         ;75,88;59,45;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;703568              ;null
17514-SUF-201S9040            ;SUNFULL SF05 175 R14 99/98R                                                                         ;50,03;48,18;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;346409              ;null
1755013-NAN-J7438             ;NANKANG NS-2R 175/50 R13 72 V                                                                       ;85,78;67,35;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;603657              ;null
