Articolo__r:Product2:External_Id__c;Codice_fornitore__c;Descrizione_fornitore__c;Ranking_fornitore__c;Disponibile__c;Impegnato__c;In_spedizione__c;Conto_deposito_fornitore_Distribuzione__c;Conto_deposito_fornitore_pdv__c;Costo__c;Prezzo_di_listino__c;Prezzo_PDV__c;PAC__c
51650;UNI;Univergomma;4;30;0;0;0;0;23.65;33.50;61.87;17.22
50239;UNI;Univergomma;3;8;0;0;0;0;191.52;332.00;273.85;149.07
525403;UNI;Univergomma;2;3;0;0;0;0;96.97;185.00;0;0.00
546368;UNI;Univergomma;6;14;0;0;0;0;147.55;302.50;270.97;146.71
546367;UNI;Univergomma;3;30;0;0;0;0;134.92;268.50;234.46;130.22
522850;UNI;Univergomma;2;17;0;0;0;0;91.39;182.50;175.37;88.51
546415;UNI;Univergomma;2;30;0;0;0;0;39.22;67.00;76.54;33.84
546391;UNI;Univergomma;5;30;0;0;0;0;62.32;115.50;135.73;56.02
525510;UNI;Univergomma;3;16;0;0;0;0;122.99;253.00;217.08;122.70
526034;UNI;Univergomma;3;2;0;0;0;0;136.38;357.00;263.31;129.23
529340;UNI;Univergomma;1;3;0;0;0;0;151.30;252.00;216.4;115.42
506524;UNI;Univergomma;4;23;0;0;0;0;48.21;88.00;90.25;40.48
547763;UNI;Univergomma;2;10;0;0;0;0;31.70;58.06;0;0.00
547779;UNI;Univergomma;2;13;0;0;0;0;54.76;124.44;0;0.00
98923;UNI;Univergomma;1;30;0;0;0;0;19.70;32.29;0;0.00
547422;UNI;Univergomma;6;29;0;0;0;0;97.71;186.00;181.08;86.47
529393;UNI;Univergomma;3;5;0;0;0;0;185.82;333.00;274.4;149.52
521837;UNI;Univergomma;4;2;0;0;0;0;118.55;235.50;203.82;111.83
521836;UNI;Univergomma;5;10;0;0;0;0;112.17;216.50;192.82;102.81
508783;UNI;Univergomma;4;2;0;0;0;0;94.83;187.50;0;0.00
521141;UNI;Univergomma;5;16;0;0;0;0;117.44;183.00;194.02;103.80
516172;UNI;Univergomma;5;12;0;0;0;0;105.62;203.50;185.29;96.64
524646;UNI;Univergomma;6;17;0;0;0;0;100.10;175.00;178.82;91.34
512400;UNI;Univergomma;1;4;0;0;0;0;119.60;185.00;0;0.00
57434;UNI;Univergomma;4;10;0;0;0;0;98.77;247.00;165.12;95.58
518628;UNI;Univergomma;5;30;0;0;0;0;95.41;188.00;168.1;89.34
520760;UNI;Univergomma;3;8;0;0;0;0;88.41;166.50;0;0.00
47812;UNI;Univergomma;1;30;0;0;0;0;105.45;156.50;159.33;87.90
520597;UNI;Univergomma;3;8;0;0;0;0;93.92;174.00;166.09;93.44
47891;UNI;Univergomma;3;30;4;0;0;0;122.46;240.00;194.13;118.73
47891;UNI;Univergomma;3;30;4;0;0;0;122.46;240.00;194.13;118.73
47891;UNI;Univergomma;3;30;0;0;0;0;122.46;240.00;194.13;118.73
47891;UNI;Univergomma;3;30;0;0;0;0;122.46;240.00;194.13;118.73
520823;UNI;Univergomma;5;21;0;0;0;0;85.81;168.00;142.42;76.34
532963;UNI;Univergomma;3;2;0;0;0;0;115.85;214.00;0;0.00
521863;UNI;Univergomma;2;3;0;0;0;0;89.24;170.50;0;0.00
79517;UNI;Univergomma;1;2;0;0;0;0;46.51;84.00;89.06;44.10
512403;UNI;Univergomma;5;30;0;0;0;0;72.93;110.00;111.26;60.00
508766;UNI;Univergomma;1;14;0;0;0;0;63.10;120.50;116.51;60.85
79050;UNI;Univergomma;4;15;0;0;0;0;67.06;127.00;120.51;64.13
99276;UNI;Univergomma;3;1;0;0;0;0;43.23;75.00;83.3;39.38
61986;UNI;Univergomma;1;16;0;0;0;0;61.76;79.20;0;0.00
508768;UNI;Univergomma;2;3;0;0;0;0;66.31;120.00;116.2;60.60
44399;UNI;Univergomma;3;14;0;0;0;0;82.42;160.50;140.23;79.40
66026;UNI;Univergomma;3;1;0;0;0;0;84.66;160.50;0;0.00
66237;UNI;Univergomma;3;1;0;0;0;0;101.54;201.50;169.97;103.77
519944;UNI;Univergomma;1;2;0;0;0;0;51.32;100.00;102.11;52.50
