IDARTICO;QTTN;PdvUltImp;DataUltImp
604808;0;null;null
619133;0;null;null
518565;0;null;null
605561;0;null;null
573498;0;null;null
501159;0;null;null
523346;0;null;null
607919;0;null;null
587856;0;null;null
96779;0;null;null
614126;0;null;null
513100;0;null;null
597941;0;null;null
622610;0;null;null
517036;0;null;null
619134;0;null;null
551407;0;null;null
571596;0;null;null
526221;0;null;null
598161;0;null;null
553699;0;null;null
575335;1;CIIB9 - BG6 BOLOGNA GOMME 6 (CSP);45825
501127;0;null;null
549624;0;null;null
546304;0;null;null
591895;0;null;null
575588;0;null;null
518292;0;null;null
574653;0;null;null
501385;0;null;null
573666;0;null;null
546310;0;null;null
553647;0;null;null
501137;0;null;null
602254;0;null;null
602312;0;null;null
523338;0;null;null
542051;0;null;null
526327;0;null;null
609416;0;null;null
607929;0;null;null
547222;0;null;null
593176;0;null;null
501242;0;null;null
592455;0;null;null
563669;0;null;null
616867;0;null;null
573484;0;null;null
501203;0;null;null
547929;0;null;null
512199;0;null;null
501291;0;null;null
547728;0;null;null
583925;0;null;null
546586;2;CIIB5 - A.R.A. SRL;45824
501292;0;null;null
601628;0;null;null
588014;0;null;null
551356;0;null;null
501398;0;null;null
611809;0;null;null
515450;0;null;null
605798;0;null;null
579457;0;null;null
501160;0;null;null
595629;0;null;null
588894;0;null;null
586229;0;null;null
526328;0;null;null
551420;0;null;null
501152;0;null;null
607866;0;null;null
604829;0;null;null
573583;0;null;null
573619;0;null;null
606190;0;null;null
501308;0;null;null
570171;0;null;null
512534;0;null;null
573801;0;null;null
598990;0;null;null
576705;0;null;null
575601;0;null;null
622615;0;null;null
518021;0;null;null
602253;0;null;null
597942;0;null;null
513062;0;null;null
501305;0;null;null
602268;0;null;null
56404;0;null;null
606501;8;CIIB5 - DELTICOM AG;45824
607336;0;null;null
613713;0;null;null
501312;0;null;null
600599;1;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45814
609910;0;null;null
542804;0;null;null
516984;1;BG4 - Impegno Cliente BG4 (Bologna Gomme4);45773
609370;0;null;null
613657;0;null;null
609488;0;null;null
598675;0;null;null
513237;0;null;null
601941;0;null;null
613649;0;null;null
573602;0;null;null
577569;0;null;null
581525;0;null;null
582879;0;null;null
597064;0;null;null
501147;0;null;null
608082;0;null;null
526319;0;null;null
582883;0;null;null
512534;0;null;null
526215;0;null;null
586477;0;null;null
559442;0;null;null
599702;0;null;null
597451;0;null;null
609127;0;null;null
574190;0;null;null
598975;0;null;null
551421;0;null;null
510044;0;null;null
568752;0;null;null
609361;0;null;null
576372;0;null;null
552571;0;null;null
561517;0;null;null
518567;0;null;null
527783;0;null;null
598978;0;null;null
522380;0;null;null
587911;0;null;null
614126;0;null;null
585906;0;null;null
526329;0;null;null
518560;0;null;null
582878;0;null;null
577444;0;null;null
612730;0;null;null
518529;0;null;null
586483;0;null;null
598188;0;null;null
611810;0;null;null
579606;2;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45803
585302;0;null;null
546583;0;null;null
596755;0;null;null
576196;0;null;null
527764;0;null;null
598461;2;BG3 - Impegno Cliente BG3 (Bologna Gomme3);45820
575647;4;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45793
522443;0;null;null
598397;0;null;null
501271;0;null;null
613253;400;CIIB5 - T4TYRES BV;45793
611775;0;null;null
611036;0;null;null
63624;1;BG3 - Impegno Cliente BG3 (Bologna Gomme3);45804
611865;0;null;null
518603;0;null;null
523338;0;null;null
501258;0;null;null
571819;0;null;null
598232;0;null;null
601508;0;null;null
500434;0;null;null
612730;0;null;null
609166;500;CIIB5 - T4TYRES BV;45793
602191;0;null;null
611780;0;null;null
555707;2;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45812
551404;0;null;null
99909;0;null;null
598188;0;null;null
606260;0;null;null
501258;0;null;null
582889;0;null;null
520298;0;null;null
588613;0;null;null
588006;0;null;null
602267;0;null;null
605801;0;null;null
579458;0;null;null
520485;0;null;null
609772;0;null;null
604670;0;null;null
526332;0;null;null
501150;0;null;null
526208;0;null;null
520302;0;null;null
99906;0;null;null
573379;0;null;null
102548;0;null;null
553162;0;null;null
564349;0;null;null
582733;0;null;null
501342;0;null;null
598188;0;null;null
573831;0;null;null
571805;0;null;null
586033;0;null;null
582882;0;null;null
592982;0;null;null
589751;0;null;null
501038;0;null;null
501391;0;null;null
599919;0;null;null
584509;0;null;null
609715;0;null;null
583926;0;null;null
501274;0;null;null
569004;3;null;null
501133;0;null;null
102805;0;null;null
501298;0;null;null
594944;0;null;null
518603;0;null;null
559483;0;null;null
501187;0;null;null
609350;0;null;null
525001;0;null;null
576483;0;null;null
501309;0;null;null
616849;0;null;null
501308;0;null;null
547929;0;null;null
561896;0;null;null
501130;0;null;null
609461;0;null;null
548034;0;null;null
598246;0;null;null
609384;0;null;null
577979;0;null;null
501145;0;null;null
519585;0;null;null
611771;0;null;null
597945;0;null;null
501132;0;null;null
616837;0;null;null
564078;0;null;null
501332;0;null;null
596124;0;null;null
501343;0;null;null
595898;0;null;null
548037;0;null;null
501142;0;null;null
501319;0;null;null
526342;0;null;null
611783;0;null;null
609409;0;null;null
561903;0;null;null
501206;0;null;null
610831;0;null;null
590050;0;null;null
77990;0;null;null
501369;0;null;null
513313;0;null;null
588996;0;null;null
573179;0;null;null
599218;0;null;null
100442;0;null;null
593526;0;null;null
611903;0;null;null
578552;1;CIIB5 - Oponeo.de GmbH;45824
501393;0;null;null
589746;0;null;null
582889;0;null;null
501174;0;null;null
574163;0;null;null
607523;0;null;null
501230;0;null;null
597962;0;null;null
501262;0;null;null
573777;0;null;null
527699;0;null;null
501282;0;null;null
575669;2;BG4 - Impegno Cliente BG4 (Bologna Gomme4);45819
573479;0;null;null
518020;0;null;null
501147;0;null;null
606310;0;null;null
573652;0;null;null
516414;0;null;null
567918;0;null;null
622607;0;null;null
607300;0;null;null
545510;0;null;null
585771;0;null;null
592439;0;null;null
598173;0;null;null
594953;0;null;null
501160;0;null;null
575175;4;BG4 - Impegno Cliente BG4 (Bologna Gomme4);45824
573707;0;null;null
521059;0;null;null
561913;0;null;null
571594;0;null;null
602339;0;null;null
573624;0;null;null
574093;0;null;null
551401;0;null;null
569774;1;BG3 - Impegno Cliente BG3 (Bologna Gomme3);45813
601135;0;null;null
616801;0;null;null
501263;0;null;null
573792;0;null;null
596755;0;null;null
608075;0;null;null
501273;0;null;null
586477;0;null;null
551404;0;null;null
581633;30;CIIB5 - Oponeo.pl S.A PL;45824
588735;0;null;null
565370;0;null;null
547928;0;null;null
606439;0;null;null
582883;0;null;null
595835;0;null;null
612730;0;null;null
594383;0;null;null
589454;0;null;null
576734;0;null;null
526338;0;null;null
501203;0;null;null
573842;0;null;null
597956;0;null;null
526221;0;null;null
599471;0;null;null
99907;0;null;null
501261;0;null;null
619040;47;CIIB5 - T4TYRES BV;45793
501285;0;null;null
555801;0;null;null
501368;0;null;null
587828;0;null;null
526212;0;null;null
519586;0;null;null
501129;0;null;null
577919;0;null;null
611731;0;null;null
602263;0;null;null
573857;0;null;null
63907;0;null;null
562631;0;null;null
98764;0;null;null
599705;0;null;null
598980;0;null;null
526214;0;null;null
575601;0;null;null
598587;0;null;null
501271;0;null;null
581240;0;null;null
528654;0;null;null
574545;0;null;null
609823;0;null;null
555801;0;null;null
501134;0;null;null
513098;0;null;null
582880;0;null;null
520830;0;null;null
581296;0;null;null
501278;0;null;null
611731;0;null;null
613613;0;null;null
597490;0;null;null
621625;0;null;null
501146;0;null;null
599679;0;null;null
584484;0;null;null
501400;0;null;null
586483;0;null;null
609459;0;null;null
501287;0;null;null
577566;0;null;null
56422;0;null;null
607390;0;null;null
99908;0;null;null
605437;0;null;null
606197;0;null;null
587689;0;null;null
582316;0;null;null
593761;0;null;null
98681;0;null;null
524532;0;null;null
571409;0;null;null
607370;0;null;null
501287;0;null;null
542050;0;null;null
597940;0;null;null
552477;0;null;null
607414;0;null;null
568010;0;null;null
551397;0;null;null
573799;0;null;null
597701;0;null;null
564078;0;null;null
501375;0;null;null
552180;0;null;null
572542;0;null;null
563922;0;null;null
549400;0;null;null
563923;0;null;null
611736;0;null;null
522393;0;null;null
566073;2;BG3 - Impegno Cliente BG3 (Bologna Gomme3);45814
501276;0;null;null
501303;0;null;null
605714;0;null;null
560133;0;null;null
518567;0;null;null
591034;0;null;null
589640;0;null;null
599472;0;null;null
597784;0;null;null
607119;0;null;null
607929;0;null;null
587989;0;null;null
526212;0;null;null
510044;0;null;null
555803;0;null;null
589713;0;null;null
510067;0;null;null
597943;0;null;null
560764;0;null;null
598267;0;null;null
613001;0;null;null
551403;0;null;null
532832;0;null;null
582025;0;null;null
591065;0;null;null
545301;0;null;null
518414;0;null;null
520448;0;null;null
518568;0;null;null
595727;0;null;null
586017;0;null;null
599006;0;null;null
501399;0;null;null
595780;0;null;null
63626;0;null;null
579541;0;null;null
100436;0;null;null
583926;0;null;null
578729;0;null;null
622611;0;null;null
602897;0;null;null
571585;0;null;null
501130;0;null;null
564328;0;null;null
559413;0;null;null
501305;0;null;null
527765;0;null;null
526320;0;null;null
579457;4;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45733
555025;0;null;null
519591;0;null;null
607409;0;null;null
585389;0;null;null
573800;0;null;null
612525;0;null;null
523347;0;null;null
573218;0;null;null
611771;0;null;null
592430;0;null;null
585259;1;BG4 - Impegno Cliente BG4 (Bologna Gomme4);45821
518565;0;null;null
609796;0;null;null
