IdTbl;Targa;Posizione;Id;SoloTarga;Qta;Elaborato;IdAbbinato;DepositiLiberi;TargaDoppia;NonElaborareTargaDoppia;Note;PosizioneMultipla;Chiusura;PDV
70;GL946WZ-244952;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205788;null
71;GL360PS-249942;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205789;null
72;BG1. FILA 3;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20578A;null
73;FX793ZE-248262;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20578B;null
74;GG867ZE-210352;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20578C;null
75;FL571MX-248748;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20578D;null
76;GR454ML-215340;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20578E;null
77;FY381HF-244165;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20578F;null
78;GK588ZK-250326;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205790;null
79;GV321ZR-244197;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205791;null
80;GE224MJ-244154;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205792;null
81;GP539BF-245209;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205793;null
82;GJ101AF-245208;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205794;null
83;GS556JX-247755;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205795;null
84;GT164EN-244497;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205796;null
85;GB624PB-250315;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205797;null
86;FT556BS-247965;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205798;null
87;GB794PR-247371;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205799;null
88;GW461JK-248884;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20579A;null
89;GK417RR-248968;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20579B;null
90;GK158ZR-247060;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20579C;null
91;GE150SP-244575;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20579D;null
92;GP647BY-244572;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20579E;null
