IdDeposito;D_IdVeicolo;D_IdUtilizzatore;D_IdAnagrafica;D_IdSchedaLavoro;Quantita;Misura;Modello;Km;Ant_mm;Post_mm;Invernali;Estive;Complete;AllSeason;Prenotazione;AnnoPrenotazione;Note;Data;Probabile_Nostre;Pdv;D_Targa;Appuntamento_Data;Appuntamento;Ora;Pdv_Appuntamento;Fila;DataRinnovo;Posizione;Rimontate;Data_Rimontate;No_Deposito;Nostre;Inviato;Data_Email;D_InseritoData;Inventariato;Note_Inventario;D_ModificatoData;Aggiunta;D_Stato;IdRinnovo;D_ArtCodice;D_ArtCodicePost;D_CarVel;D_CarVelPost;D_MisuraPost;D_Quantita_Post;D_Modello_Post;D_QtaTotale;D_MisuraComplessiva;D_ModelloComplessivo;Chiusura;Telefonata;D_ModificatoPdv;D_ModificatoNome;D_InseritoPdv;D_InseritoNome;D_DataRitiro;D_TipiInvioEmail;D_ListaInvioUltimoInvio;D_DotAnt;D_DotPost;DaPagare;D_Deposito;D_Estive_Invernali_Finite;D_Porta_Via;D_FiniteConserva;D_Firmato_FM;D_NotizieCliente;StatoCerchiQta;StatoCerchiNote;DaRigenerare;NoteInvioSmsEmail;D_TipoDepositoR1;D_TipoDepositoR2;D_DataInventario;CaricatePerMagazzino;DataCaricatePerMagazzino;DataRimandato;D_FirmatoRitiro_FM;D_InvioEmailDeposito;D_InvioEmailPortaVia;D_InvioEmailSmaltimento;D_TipoAppuntamento;Dalle;Alle;D_NotizieClienteDett
251598;189114;null;59022;540968;4;2256018;XL CINTURATO P7 (P7C2)  PIRELLI (*);105400;1;null;False;True;null;False;null;null;null;16/06/2025 00:00:00;null;BG6;GF873WB;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 11:19:24;False;CHIUSO;16/06/2025 11:20:36;null;C;null;2256018-PIR-3495700;;104W;null;null;null;null;0;;;0x000000004DFDBAA4;null;BG6;Bg6_Officina1;BG6;Bg6_Officina1;null;null;null;1019;null;null;null;null;null;null;SI;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;16/06/2025;null;null;null;null
251597;132460;null;94090;540966;4;2056016;WINTERHAWK 4  FIRESTONE;70641;2;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG4;GG725ZT;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 11:10:59;False;CHIUSO;16/06/2025 11:11:27;null;C;null;2056016-FIR-18061;;92H;null;null;null;null;0;;;0x000000004DFDAB95;null;BG4;Bg4_Ponte1;BG4;Bg4_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251596;211750;null;154780;540965;4;2056016;XL ESKIMO HP 2  SAVA;46500;7;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG7;GM912LF;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 11:03:49;False;null;16/06/2025 11:22:32;null;A;null;2056016-SAV-531967;;96H;null;null;null;null;4;2056016;XL ESKIMO HP 2  SAVA;0x000000004DFDA7C0;null;BG7;AlimentiCostantino;BG7;Bg7_Officina;null;null;null;3422;null;null;null;null;null;null;NO;False;null;null;False;null;DEPOSITO;null;null;False;null;null;XX;null;null;null;null;null;null;null
251595;201906;null;105783;540964;4;2156017;XL WinterContact TS 870 P  CONTINENTAL EVc;26000;4;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG3;GW298GJ;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 11:01:37;False;null;16/06/2025 11:01:51;null;A;null;2156017-CON-0355663;;100V;null;null;null;null;4;2156017;XL WinterContact TS 870 P  CONTINENTAL EVc;0x000000004E0E8A09;null;BG3;Bg3_Ponte1;BG3;Bg3_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;DEPOSITO;null;null;True;17/06/2025 15:43:12;null;XX;null;null;null;null;null;null;null
251594;219626;null;85010;540957;4;1955516;WINTERDRIVE CEAT;80836;4;null;False;True;null;False;null;null;null;16/06/2025 00:00:00;null;BG1;GH928PK;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 10:29:31;False;null;16/06/2025 10:31:23;null;A;null;1955516-CEA-104189;;87H;null;null;null;null;4;1955516;WINTERDRIVE CEAT;0x000000004DFDA2DB;null;BG1;BG1_Ponte1;BG1;BG1_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;DEPOSITO;null;null;False;null;null;XX;null;null;null;null;null;null;null
251593;150670;null;29459;540956;4;2254517;XL QUARTARIS 5  BARUM EVc M+S;159000;2;null;False;False;null;True;null;null;null;16/06/2025 00:00:00;null;BG4;EP012LX;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 10:26:00;False;CHIUSO;16/06/2025 10:26:13;null;C;null;2254517-BAR-1540692;;94V;null;null;null;null;0;;;0x000000004DFDC69F;null;BG4;Bg4_Ponte1;BG4;Bg4_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;16/06/2025;null;null;null;null
251592;220667;null;154945;540953;2;2256516;TRANSALP 2+  KLEBER;91450;1;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG6;FS580TL;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 10:22:44;False;CHIUSO;16/06/2025 10:23:33;null;C;null;2256516-KLE-978726;;112R;null;null;null;null;0;;;0x000000004DFDA243;null;BG6;Bg6_Officina1;BG6;Bg6_Officina1;null;null;null;2421;null;null;null;null;null;null;SI;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251591;207828;null;94162;540948;4;2255017;XL Winter Sport 5  DUNLOP;24388;4;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG1;GV126LB;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 10:01:49;False;CHIUSO;16/06/2025 10:02:02;null;C;null;2255017-DUN-574653;;98V;null;null;null;null;0;;;0x000000004DFDA0CE;null;BG1;BG1_Ponte1;BG1;BG1_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;PORTA VIA;null;null;False;null;null;XX;null;16/06/2025;null;null;null;null;null
251590;83503;null;59358;540943;4;2055516;POLARIS 5  BARUM EVc;150000;4;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG4;FT750AC;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 09:45:52;False;null;16/06/2025 11:40:40;null;A;null;2055516-BAR-1541336;;91T;null;null;null;null;4;2055516;POLARIS 5  BARUM EVc;0x000000004DFDC536;null;BG4;eugeniosanese;BG4;Bg4_Ponte1;null;null;null;4823;null;null;null;null;null;null;NO;False;null;null;False;null;DEPOSITO;null;null;True;16/06/2025 17:58:57;null;XX;null;null;null;null;null;null;null
251589;198970;null;64994;540934;2;1956515;TURANZA T005  BRIDGESTONE;60707;1;null;False;True;null;False;null;null;null;16/06/2025 00:00:00;null;BG5;GN332FP;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 09:28:57;False;CHIUSO;16/06/2025 09:29:35;null;C;null;1956515-BRI-8904;;91H;null;null;null;null;0;;;0x000000004DFD9C66;null;BG5;AndreaZerbini;BG5;AndreaZerbini;null;null;null;2022;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251588;50636;null;8229;540938;4;1756015;SNOWPROX S943  TOYO;112000;5;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG4;EX717WK;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 09:28:07;False;null;16/06/2025 09:28:51;null;A;null;1756015-TOY-3275105;;81H;null;null;null;null;4;1756015;SNOWPROX S943  TOYO;0x000000004DFDC535;null;BG4;Bg4_Ponte1;BG4;Bg4_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;DEPOSITO;null;null;True;16/06/2025 17:58:57;null;XX;null;null;null;null;null;null;null
251587;213836;null;149674;540929;2;2054516;PremiumContact 6  CONTINENTAL EVc;171908;2;null;False;True;null;False;null;null;null;16/06/2025 00:00:00;null;BG7;EV596EH;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 09:08:48;False;CHIUSO;16/06/2025 09:09:52;null;C;null;2054516-CON-0358620;;83W;null;null;null;null;0;;;0x000000004DFD9A33;null;BG7;Bg7_Officina;BG7;Bg7_Officina;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251586;205622;null;143695;540928;4;2056016;XL CINTURATO WINTER 2  PIRELLI;24000;0;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG3;GW029ED;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 09:04:36;False;CHIUSO;16/06/2025 09:04:49;null;C;null;2056016-PIR-4288400;;96H;null;null;null;null;0;;;0x000000004DFD9A57;null;BG3;Bg3_Ponte1;BG3;Bg3_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251585;169399;null;118410;540924;4;1855515;DYNAXER HP3  KLEBER;219500;2;null;False;True;null;False;null;null;null;16/06/2025 00:00:00;null;BG7;ES818ZC;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 08:29:24;False;CHIUSO;16/06/2025 08:30:25;null;C;null;1855515-KLE-831725;;82H;null;null;null;null;0;;;0x000000004DFD98A2;null;BG7;Bg7_Officina;BG7;Bg7_Officina;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251584;190496;null;131708;540923;4;2255518;XL POWERGY WINTER  PIRELLI;135600;6;null;True;null;null;null;null;null;null;16/06/2025 00:00:00;null;BG3;GK381RY;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 08:29:02;False;null;16/06/2025 08:29:03;null;A;null;2255518-PIR-4478800;null;102V;null;null;null;null;4;2255518;XL POWERGY WINTER  PIRELLI;0x000000004E0E8A08;null;BG3;Bg3_Ponte1;BG3;Bg3_Ponte1;null;null;null;1024;null;null;null;null;null;null;NO;False;null;null;False;null;DEPOSITO;null;null;True;17/06/2025 15:43:12;null;XX;null;null;null;null;null;null;null
251583;190668;null;46156;540920;4;2355518;XL SCORPION WINTER 2  PIRELLI;93000;1,5;null;True;False;null;False;null;null;null;16/06/2025 00:00:00;null;BG3;FY916FS;null;null;null;null;False;null;null;null;null;null;False;null;null;16/06/2025 08:23:03;False;CHIUSO;16/06/2025 13:58:44;null;C;null;2355518-PIR-4396400;;104H;null;null;null;null;0;;;0x000000004E0E769D;null;BG3;DavideRusso;BG3;Bg3_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;PORTA VIA;null;null;False;null;null;XX;null;null;null;null;null;null;null
251582;220380;null;154746;540901;2;2356018;XL SCORPION ALL SEASON SF2  PIRELLI M+S Sealinside;40029;1,6;null;False;False;null;True;null;null;null;14/06/2025 00:00:00;null;BG2;GR790MK;null;null;null;null;False;null;null;null;null;null;False;null;null;14/06/2025 11:46:57;False;CHIUSO;14/06/2025 11:48:19;null;C;null;2356018-PIR-4000200;;107W;null;null;null;null;0;;;0x000000004DDC18A8;null;BG2;Bg2_Ponte3;BG2;Bg2_Ponte3;null;null;null;0923;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251581;216441;null;154904;540893;4;1955516;XL W462 WINTER I*CEPT RS3  HANKOOK;36000;2;null;True;False;null;False;null;null;null;14/06/2025 00:00:00;null;BG3;GB257HZ;null;null;null;null;False;null;null;null;null;null;False;null;null;14/06/2025 11:38:19;False;CHIUSO;14/06/2025 11:38:53;null;C;null;1955516-HAN-1028402;;91H;null;null;null;null;0;;;0x000000004DDC18D3;null;BG3;Bg3_Ponte1;BG3;Bg3_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
