classificatore1	classificatore2	classificatore3	classificatore4	ART_ID	ART_CAI	SETTORE_ID	SETTORE	MARCA_ID	MARCA	ART_CODICE	IND_CARICO	IND_VELOCITA	Ext_XL	Disegno	Ext_EAN	ext_Misura	DESCR_DIRECT	ART_STAGIONE	ART_STAGIONEShort	STAART	Decibel	Rumorosita	Rotolamento	Aderenza	IdIc	IdIv	IDARTCLA1	IDARTCLA2	IDARTCLA3	IDARTCLA4	Ext_Fascia
null	null	null	null	576071	null	10026	REVISIONI                               	10004	REVISIONE                               	@SPESEVERS          	null	null	null	null	null	null	Spese Postali Versamento 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	576071	null	10026	REVISIONI                               	10004	REVISIONE                               	@SPESEVERS          	null	null	null	null	null	null	Spese Postali Versamento 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518021	null	10037	MANODOPERA OFFICINA                     	324	MANODOPERA                              	@7MANOFF            	null	null	null	null	null	null	MANODOPERA MECCANICA SPECIALIZZATA	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	589454	null	105	MECCANICA VETTURA - 4X4 - TL            	10009	MECCANICA LEGGERA                       	@7INUGELVIOLA       	null	null	null	null	null	null	ANTIGELO VIOLA G13 MOTUL 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	589735	null	10116	MATERIALE CONSUMO  MOTO RIVENDUTO       	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVTM            	null	null	null	null	null	null	VALVOLA TBL MOTO 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	606778	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7PRRICV            	null	null	null	null	null	null	PRESA ERICONSEGNA VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	606778	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7PRRICV            	null	null	null	null	null	null	PRESA ERICONSEGNA VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	606778	null	10007	MD VETTURA                              	324	MANODOPERA                              	@7PRRICV            	null	null	null	null	null	null	PRESA ERICONSEGNA VETTURA 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	610819	null	105	MECCANICA VETTURA - 4X4 - TL            	10248	MAGNETI MARELLI                         	1,53072E+11	null	null	null	null	null	null	FILTRO CARBURANTE 153071760754 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	610876	null	10119	OLIO MECCANICA                          	10009	MECCANICA LEGGERA                       	@7OLIO0W308100      	null	null	null	null	null	null	OLIO MOTUL 8100 X-CLEAN + EFE 0W30 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518527	null	10015	MATERIALE CONSUMO VETT RIVENDUTO        	10001	MATERIALE CONSUMO VETTURA MOTO          	@7VALVR             	null	null	null	null	null	null	VALVOLERIMONTAGGIO STAGIONALE 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518528	null	10037	MANODOPERA OFFICINA                     	324	MANODOPERA                              	@7MOZZI             	null	null	null	null	null	null	RIGENERAZIONE MOZZI E BULLONI 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518528	null	10037	MANODOPERA OFFICINA                     	324	MANODOPERA                              	@7MOZZI             	null	null	null	null	null	null	RIGENERAZIONE MOZZI E BULLONI 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
null	null	null	null	518528	null	10037	MANODOPERA OFFICINA                     	324	MANODOPERA                              	@7MOZZI             	null	null	null	null	null	null	RIGENERAZIONE MOZZI E BULLONI 	4 STAGIONI	Q	G	null	null	null	null	null	null	null	null	null	null	null
215	50	18	TURANZA 6	597088	26012	4	VETTURA                                 	11	BRIDGESTONE                             	2155018-BRI-26012   	92	W                                       	null	TURANZA 6	3,28634E+12	2155018	215/50R18 92W BRIDGESTONE TURANZA 6	ESTIVO	E	G	69	B	B	A	4	8	2	28	61	17600	A 
