Id_Articoli	Art_IdSchedaLavoro	Art_IdVeicolo	Art_IdArtico	Art_Codice	Art_Qta	Art_Misura	Art_Descrizione	Art_DOT	Art_Prezzo	Art_Fascia	Art_Marca	Art_CD_IdLotto	Art_PrezzoUnit	Art_LottoForzato	Art_Chiusura	Art_PrezzoRigaImp
1204238	528135	181238	518527	@7VALVR	4.00		VALVOLERIMONTAGGIO STAGIONALE		8,05	X	MATERIALE CONSUMO VETTURA MOTO          	null	1.65	null	0x000000004AE594BE	6.60
1204239	528135	181238	606778	@7PRRICV	2.00		PRESA ERICONSEGNA VETTURA		104,31	X	MANODOPERA                              	null	42.75	null	0x000000004AE594BF	85.50
1204240	528135	181238	567916	@7ACG	1.00		ADDEBITO COSTI DI GESTIONE		-4,48	X	Abbuoni Vettura                         	null	-3.67	null	0x000000004AE594C0	-3.67
780921	382616	89573	581903	@7REV100	1.00		REVISIONE AUTOVEICOLO		67,04	X	REVISIONE	null	54.95	null	0x00000000209F1EF1	54.95
780922	382616	89573	501188	@7REV1	1.00		 VERSAMENTO REVISIONE MCTC		10,2	X	REVISIONE	null	10.20	null	0x00000000209F1EF2	10.20
639211	342207	89573	587208	V03N115562B	1.00		V03N115562B CARTUCCIA 		21,716	X	MECCANICA                               	null	17.80	null	0x00000000209D3DE2	17.80
639212	342207	89573	587211	V5Q0819669	1.00		V5Q0819669 		47,336	X	MECCANICA                               	null	38.80	null	0x00000000209D3DE3	38.80
639213	342207	89573	587210	V5Q0129620B	1.00		V5Q0129620B FILTRO ARIA 		36,844	X	MECCANICA                               	null	30.20	null	0x00000000209D3DE4	30.20
639215	342207	89573	574614	@7OLIO0W30TOTAL	4.70		OLIO 00W30 QUARTZ INEO EFFICIENT 		84,5704	X	TOTAL                                   	null	14.75	null	0x00000000209D3DE5	69.32
639216	342207	89573	562861	@7ADBLUELT	7.00		ADBLUE LITRO 		10,5042	X	MECCANICA LEGGERA                       	null	1.23	null	0x00000000209D3DE6	8.61
639217	342207	89573	546102	@7RESET	1.00		RESET SERVICE TAGLIANDO 		0,01	X	MANODOPERA OFFICINA MOBILE              	null	0.01	null	0x00000000209D3DE7	0.01
639218	342207	89573	553167	@7LAVAVETRI	1.00		DETERGENTE LAVAVETRI (OMAGGIO)		0,01	X	MECCANICA LEGGERA                       	null	0.01	null	0x00000000209D3DE8	0.01
639219	342207	89573	518021	@7MANOFF	2.00		MANODOPERA OFFICINA MECCANICA		99,99	X	MANODOPERA                              	null	40.98	null	0x00000000209D3DE9	81.96
